biome,site,value,disturbance,forestcover_50,forestcover_10,year,forest10,forest50,rate10,rate50,cluster,x,y
boreal,AIGUEBELLE,1,36,243481500,248539500,2001,276155,270535,1.303615723054082e-4,1.3306965826972482e-4,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,2,32,243481500,248539500,2002,276155,270535,1.1587695316036284e-4,1.1828414068419983e-4,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,3,4,243481500,248539500,2003,276155,270535,1.4484619145045355e-5,1.4785517585524978e-5,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,4,81,243481500,248539500,2004,276155,270535,2.9331353768716846e-4,2.994067311068808e-4,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,5,61,243481500,248539500,2005,276155,270535,2.2089044196194166e-4,2.2547914317925591e-4,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,6,27,243481500,248539500,2006,276155,270535,9.777117922905614e-5,9.98022437022936e-5,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,7,49,243481500,248539500,2007,276155,270535,1.774365845268056e-4,1.81122590422681e-4,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,8,34,243481500,248539500,2008,276155,270535,1.231192627328855e-4,1.256768994769623e-4,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,9,27,243481500,248539500,2009,276155,270535,9.777117922905614e-5,9.98022437022936e-5,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,10,32,243481500,248539500,2010,276155,270535,1.1587695316036284e-4,1.1828414068419983e-4,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,11,39,243481500,248539500,2011,276155,270535,1.4122503666419222e-4,1.4415879645886853e-4,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,12,180,243481500,248539500,2012,276155,270535,6.51807861527041e-4,6.65348291348624e-4,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,13,535,243481500,248539500,2013,276155,270535,0.0019373178106498162,0.0019775629770639657,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,14,24,243481500,248539500,2014,276155,270535,8.690771487027214e-5,8.871310551314987e-5,2,-78.74459537800524,48.50957231070758
boreal,AKUMUNAN,1,8,186847200,191034900,2001,212261,207608,3.768944836781133e-5,3.853416053331278e-5,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,2,70,186847200,191034900,2002,212261,207608,3.297826732183491e-4,3.371739046664868e-4,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,3,0,186847200,191034900,2003,212261,207608,0,0,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,4,2,186847200,191034900,2004,212261,207608,9.422362091952832e-6,9.633540133328195e-6,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,5,43,186847200,191034900,2005,212261,207608,2.025807849769859e-4,2.0712111286655621e-4,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,6,3,186847200,191034900,2006,212261,207608,1.4133543137929248e-5,1.4450310199992294e-5,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,7,16,186847200,191034900,2007,212261,207608,7.537889673562266e-5,7.706832106662556e-5,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,8,22,186847200,191034900,2008,212261,207608,1.0364598301148115e-4,1.0596894146661016e-4,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,9,14,186847200,191034900,2009,212261,207608,6.595653464366982e-5,6.743478093329736e-5,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,10,12,186847200,191034900,2010,212261,207608,5.653417255171699e-5,5.7801240799969175e-5,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,11,16,186847200,191034900,2011,212261,207608,7.537889673562266e-5,7.706832106662556e-5,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,12,16,186847200,191034900,2012,212261,207608,7.537889673562266e-5,7.706832106662556e-5,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,13,1,186847200,191034900,2013,212261,207608,4.711181045976416e-6,4.816770066664097e-6,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,14,15,186847200,191034900,2014,212261,207608,7.066771568964624e-5,7.225155099996146e-5,2,-70.11807932292275,48.678370533021216
boreal,ASSINICA,1,164,1495947600,1822650300,2001,2025167,1662164,8.098097588988957e-5,9.866655757193634e-5,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,2,443,1495947600,1822650300,2002,2025167,1662164,2.1874739219037245e-4,2.665200305144378e-4,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,3,286,1495947600,1822650300,2003,2025167,1662164,1.4122292136895377e-4,1.720648503998402e-4,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,4,381,1495947600,1822650300,2004,2025167,1662164,1.8813263301248738e-4,2.2921925874943747e-4,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,5,7672,1495947600,1822650300,2005,2025167,1662164,0.0037883295550441027,0.004615669693243266,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,6,4300,1495947600,1822650300,2006,2025167,1662164,0.0021232816849178363,0.002586989009508087,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,7,5173,1495947600,1822650300,2007,2025167,1662164,0.0025543572455999923,0.0031122079409733336,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,8,919,1495947600,1822650300,2008,2025167,1662164,4.5378973684639343e-4,5.528936976134726e-4,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,9,676,1495947600,1822650300,2009,2025167,1662164,3.33799632326618e-4,4.066987373087132e-4,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,10,321,1495947600,1822650300,2010,2025167,1662164,1.5850544671130824e-4,1.9312173768653394e-4,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,11,95,1495947600,1822650300,2011,2025167,1662164,4.690971164353359e-5,5.7154408349597275e-5,3,-75.12814285786246,50.34610084850191
