biome,site,value,disturbance_ha,closedforest_ha,year,cluster,x,y
boreal,AIGUEBELLE,1,3.06,25344,2001,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,2,2.88,25344,2002,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,3,0.18,25344,2003,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,4,6.39,25344,2004,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,5,5.31,25344,2005,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,6,2.34,25344,2006,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,7,4.2299999999999995,25344,2007,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,8,2.6999999999999997,25344,2008,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,9,2.34,25344,2009,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,10,2.79,25344,2010,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,11,3.2399999999999998,25344,2011,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,12,16.2,25344,2012,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,13,46.8,25344,2013,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,14,2.07,25344,2014,2,-78.74459537800524,48.50957231070758
boreal,AKUMUNAN,1,0.72,20016,2001,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,2,1.44,20016,2002,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,3,0,20016,2003,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,4,0.18,20016,2004,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,5,3.06,20016,2005,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,6,0.27,20016,2006,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,7,1.17,20016,2007,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,8,1.6199999999999999,20016,2008,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,9,0.18,20016,2009,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,10,0.8999999999999999,20016,2010,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,11,0.8999999999999999,20016,2011,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,12,1.44,20016,2012,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,13,0,20016,2013,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,14,0.18,20016,2014,2,-70.11807932292275,48.678370533021216
boreal,ASSINICA,1,7.47,139248,2001,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,2,17.009999999999998,139248,2002,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,3,17.099999999999998,139248,2003,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,4,31.41,139248,2004,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,5,408.78,139248,2005,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,6,308.43,139248,2006,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,7,425.96999999999997,139248,2007,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,8,59.94,139248,2008,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,9,47.339999999999996,139248,2009,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,10,16.83,139248,2010,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,11,6.39,139248,2011,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,12,308.34,139248,2012,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,13,8.459999999999999,139248,2013,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,14,20.61,139248,2014,3,-75.12814285786246,50.34610084850191
boreal,BEKKARFJORD,1,0,0,2001,3,27.376787890514166,70.55448908749581
boreal,BEKKARFJORD,2,0,0,2002,3,27.376787890514166,70.55448908749581
boreal,BEKKARFJORD,3,0,0,2003,3,27.376787890514166,70.55448908749581
boreal,BEKKARFJORD,4,0,0,2004,3,27.376787890514166,70.55448908749581
boreal,BEKKARFJORD,5,0,0,2005,3,27.376787890514166,70.55448908749581
boreal,BEKKARFJORD,6,0,0,2006,3,27.376787890514166,70.55448908749581
boreal,BEKKARFJORD,7,0,0,2007,3,27.376787890514166,70.55448908749581
boreal,BEKKARFJORD,8,0,0,2008,3,27.376787890514166,70.55448908749581
boreal,BEKKARFJORD,9,0,0,2009,3,27.376787890514166,70.55448908749581
boreal,BEKKARFJORD,10,0,0,2010,3,27.376787890514166,70.55448908749581
boreal,BEKKARFJORD,11,0,0,2011,3,27.376787890514166,70.55448908749581
boreal,BEKKARFJORD,12,0,0,2012,3,27.376787890514166,70.55448908749581
boreal,BEKKARFJORD,13,0,0,2013,3,27.376787890514166,70.55448908749581
boreal,BEKKARFJORD,14,0,0,2014,3,27.376787890514166,70.55448908749581
boreal,BROADBACK,1,11.7,344448,2001,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,2,76.05,344448,2002,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,3,0.27,344448,2003,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,4,16.2,344448,2004,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,5,3831.39,344448,2005,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,6,2576.52,344448,2006,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,7,401.21999999999997,344448,2007,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,8,177.48,344448,2008,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,9,262.71,344448,2009,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,10,16094.16,344448,2010,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,11,4835.61,344448,2011,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,12,2834.73,344448,2012,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,13,13543.109999999999,344448,2013,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,14,774.27,344448,2014,3,-77.21444887447923,50.96609354683325
boreal,CARTIER,1,2.07,66528,2001,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,2,1.6199999999999999,66528,2002,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,3,0.18,66528,2003,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,4,1.98,66528,2004,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,5,2.6999999999999997,66528,2005,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,6,1.71,66528,2006,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,7,3.06,66528,2007,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,8,1.08,66528,2008,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,9,6.39,66528,2009,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,10,3.33,66528,2010,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,11,7.92,66528,2011,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,12,24.57,66528,2012,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,13,76.41,66528,2013,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,14,9.36,66528,2014,2,-71.34785213179656,47.31721033605456
boreal,CENTRALFOR,1,0.27,4752,2001,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,2,0.63,4752,2002,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,3,0,4752,2003,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,4,0.09,4752,2004,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,5,0.63,4752,2005,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,6,0.27,4752,2006,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,7,0.18,4752,2007,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,8,0.54,4752,2008,1,32.904219793807876,56.500150495467864
