biome,site,value,disturbance_ha,openforest_ha,year,cluster,x,y
boreal,AIGUEBELLE,1,0,864,2001,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,2,0,864,2002,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,3,0,864,2003,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,4,0,864,2004,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,5,0,864,2005,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,6,0,864,2006,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,7,0,864,2007,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,8,0,864,2008,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,9,0,864,2009,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,10,0,864,2010,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,11,0,864,2011,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,12,0,864,2012,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,13,0,864,2013,2,-78.74459537800524,48.50957231070758
boreal,AIGUEBELLE,14,0,864,2014,2,-78.74459537800524,48.50957231070758
boreal,AKUMUNAN,1,0,864,2001,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,2,4.859999999999999,864,2002,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,3,0,864,2003,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,4,0,864,2004,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,5,0,864,2005,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,6,0,864,2006,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,7,0.09,864,2007,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,8,0.18,864,2008,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,9,1.08,864,2009,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,10,0,864,2010,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,11,0.44999999999999996,864,2011,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,12,0,864,2012,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,13,0.09,864,2013,2,-70.11807932292275,48.678370533021216
boreal,AKUMUNAN,14,1.17,864,2014,2,-70.11807932292275,48.678370533021216
boreal,ASSINICA,1,3.96,94464,2001,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,2,4.95,94464,2002,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,3,1.3499999999999999,94464,2003,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,4,2.6999999999999997,94464,2004,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,5,190.17,94464,2005,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,6,59.94,94464,2006,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,7,33.12,94464,2007,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,8,21.24,94464,2008,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,9,12.87,94464,2009,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,10,11.61,94464,2010,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,11,1.89,94464,2011,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,12,18.45,94464,2012,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,13,0.18,94464,2013,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,14,0.8099999999999999,94464,2014,3,-75.12814285786246,50.34610084850191
boreal,BEKKARFJORD,1,0.18,1584,2001,3,27.376787890514166,70.55448908749581
boreal,BEKKARFJORD,2,0.8099999999999999,1584,2002,3,27.376787890514166,70.55448908749581
