biome,site,x,y,cluster,site_id,fire
Boreal,AIGUEBELLE,-78.74459537800524,48.50957231070758,Moderate,1,0
Boreal,AKUMUNAN,-70.11807932292275,48.678370533021216,Moderate,2,NA
Boreal,ASSINICA,-75.12814285786246,50.34610084850191,High,3,1
Boreal,BEKKARFJORD,27.376787890514166,70.55448908749581,Ephemeral,4,0
Boreal,BROADBACK,-77.21444887447923,50.96609354683325,High,5,1
Boreal,CARTIER,-71.34785213179656,47.31721033605456,Moderate,6,0
Boreal,CENTRALFOR,32.904219793807876,56.500150495467864,Low,7,0
Boreal,DENALI,-151.31823288945975,63.70496598029628,High,8,1
Boreal,DENEZHKIN,59.48809548666293,60.5089723572197,High,9,1
Boreal,FARNEBOFJARDEN,16.784154196297216,60.2012067962209,Low,10,1
Boreal,FULUFJALLET,12.739429569108696,61.54560240517525,Low,11,0
Boreal,GASPESIE,-66.3635944596967,48.919246317512396,Moderate,12,0
Boreal,GODBOUT,-67.84602097188683,49.64752341291868,Moderate,13,0
Boreal,GRIDINO,34.63680250634943,65.91443761097501,Moderate,141
Boreal,GUERNESE,-57.895799136789165,51.87080683037174,Moderate,15,0
Boreal,KIVACH,34.0181298039842,62.26525627915287,Low,16,1
Boreal,KLUANE,-139.20245547778103,60.63155201858082,Low,17,0
Boreal,KOOTENAY,-116.0313811570884,50.93531752049903,High,18,1
Boreal,LAHEMAA,26.037399507301718,59.58148028056476,Moderate,19,1
Boreal,MALTIO,28.71938564936895,67.39581934033298,Low,20,1
Boreal,MPECHORO,58.81045237460245,62.50991174383526,Moderate,21,1
Boreal,MUDDUS,20.197333506389757,66.91631560674142,Moderate,22,1
Boreal,NAHANNI,-125.88845506098424,61.609321488469774,High,23,1
Boreal,NATASHQUAN,-61.62849197152997,51.542174187174844,High,24,1
Boreal,NIQUET,-79.00782764424395,50.132428374507334,Moderate,25,NA
Boreal,ONEZHKOYE,37.148441844837535,64.94308389444447,High,26,NA
Boreal,ONISTAGANE,-71.32887934833232,50.940504942683184,High,27,1
Boreal,OSKELANEO,-75.2713604517207,48.185365769609156,High,28,NA
Boreal,PPECHORO,57.016014551596996,61.82426849741519,High,29,1
Boreal,PRINCEALBERT,-106.36967462895886,53.963400742981165,High,30,1
Boreal,PROVENCHER,-68.24133893809591,50.11355279267362,Moderate,31,0
Boreal,PUTORANA,93.94199386221358,69.03081748420199,Moderate,32,1
Boreal,RACINE,-68.5000646934181,52.26140223295027,High,33,1
Boreal,REISADALEN,21.84521755377757,69.37319796716838,Ephemeral,34,0
Boreal,RIDING,-73.11759975209418,54.72345891861901,Moderate,35,1
Boreal,SPATSIZI,-128.51330247517726,57.54357533930847,High,36,1
Boreal,STOLBY,92.92730789157613,55.80722531566407,Moderate,37,1
Boreal,TANA,28.054937698387505,70.34181791964103,Ephemeral,38,0
Boreal,TIVEDEN,14.611452346938842,58.71615003055456,Low,39,NA
Boreal,TUNGUSKA,101.99962384000192,60.82511091857773,High,40,1
Boreal,TUNTSA,29.532652529938986,67.63748453278818,Low,41,1
Boreal,VALJOK,26.009162824266802,69.75471600162979,Ephemeral,42,0
Boreal,VARRIO,29.645823613056827,67.73848626900129,Low,43,1
Boreal,VEPPSKY,35.16801192466339,60.211758762476386,Moderate,44,0
Boreal,VISHERSKY,59.0329035180166,61.277891408526905,Moderate,45,0
Boreal,VODLFIRE,37.06893681076451,62.37726476255311,Moderate,46,1
Boreal,VODLMAJOR,36.790672634107516,62.46028472211058,Low,47,0
Boreal,WABAKIMI,-89.421208966451,50.757182099162414,High,48,1
Boreal,WOODBUFFALO,-113.25811854113374,59.35499555278062,High,49,1
Boreal,WOODLANDCARIBOU,-94.73726503401242,51.084623128276924,High,50,1
Boreal,YUGYDVA,59.376513217724764,64.68363250223118,Moderate,51,1
Boreal,YUKON,-148.91700752862343,66.5045083341004,High,52,1
Boreal,ZEYSKY,127.11689242723878,54.05568108288092,High,53,1
Temperate,admirality,-134.40808105963123,57.66074398144862,Low,54,0
Temperate,alerces,-71.8368329231951,-42.84466347823549,Moderate,55,1
Temperate,andino,-72.52341737322433,-41.58146160572779,Moderate,56,0
Temperate,aotea,175.40201339868824,-36.20076670833948,Low,57,0,
Temperate,bavarian,13.46286899505327,48.93970140825836,Moderate,58,0
Temperate,baxter,-68.93667013616692,46.00006002264432,Moderate,59,0
