site,biome,height.pft,wooddensity.pft,conifershare.pft,height.species,wooddensity.species,conifershare.species,temp_mean_sd,prec_mean_sd,temp_mean,temp_range,prec_mean,prec_range,x,y,cluster,site_id
admirality,temperate,46.32409677419355,229.2573548387097,1,67.67096774193548,413.0040678993792,1,0.6202965665274781,221.63596776310536,4.210987346942827,14.624475625253492,2022.489162077805,234.38937667103582,-134.40808105963123,57.66074398144862,Low,54
AIGUEBELLE,boreal,39.57473684210526,238.42184210526315,0.8,37.58294875610449,502.1662633742683,0.8,0.861165374874929,95.77736871046682,2.4038250830584476,33.15352805514192,1001.8771346857601,141.68850708580862,-78.74459537800524,48.50957231070758,Moderate,1
AKUMUNAN,boreal,46.35600000000001,229.41900000000004,1,37.31943636363636,478.22939620519054,1,0.893022609612662,96.7019781601246,0.4383279317045734,32.272900035210974,1267.9335333991662,158.78546248596945,-70.11807932292275,48.678370533021216,Moderate,2
ASSINICA,boreal,45.0845,229.84225,0.6666666666666666,46.069653681935634,451.87040129327517,0.6666666666666666,0.9935443009732342,96.13465290609338,-0.7200757984642127,33.87638100766405,1127.6624373514421,150.431725294789,-75.12814285786246,50.34610084850191,High,3
bavarian,temperate,39.18342268041237,261.01034020618556,0.4,44.863402061855695,521.8251588262932,0.4,0.8100365684500053,166.0016891287615,7.9888802258468665,20.78123076103868,784.4910177914222,148.0576178488311,13.46286899505327,48.93970140825836,Moderate,58
baxter,temperate,36.8895,264.97075,0.4,25.9857,551.8304651286314,0.4,0.6997763528434272,121.27798601666487,4.942491233894621,28.89209862678282,1128.553088757888,146.2857867750621,-68.93667013616692,46.00006002264432,Moderate,59
BROADBACK,boreal,45.0845,229.84225,0.6666666666666666,46.069653681935634,451.87040129327517,0.6666666666666666,1.0010941764983312,71.82173744487199,-0.8427920947074695,34.84512512882871,1077.240040282185,142.83795334943613,-77.21444887447923,50.96609354683325,High,5
CARTIER,boreal,44.819625,231.93300000000002,0.5,31.20498614141414,498.0944842162666,0.5,0.8261068268185099,97.13163584376277,1.8167162857642785,31.659513593866137,1298.739853506538,165.20783744595903,-71.34785213179656,47.31721033605456,Moderate,6
CENTRALFOR,boreal,38.876939393939395,241.45624242424245,0.4,41.67445828282828,481.01595488316224,0.4,0.9280444988931694,130.38668991809644,4.5535188021089885,28.842525552724773,748.7476446128098,145.62058158777089,32.904219793807876,56.500150495467864,Low,7
cool,temperate,40.05292307692308,239.73284615384617,0.5,38.45714285714286,491.4850803014074,0.5,0.6832641951708944,159.3734404135394,5.410928866395387,23.286186618189657,774.4449124425145,206.63353905569232,145.1327839204243,43.98166210063598,Low,62
